UID,Good_Bad,CUSTOMER_PROFILE_CODE,LOCATIONNAME,VEHICLEMODEL,ASSETCOST,LOANAMOUNT,EMI,TENURE,ADDRESSCONFIRMED,DESIGNATION,RESIDENCETYPE,NOOFYEARSINSAMECITY,RESIDENCESTABILITY,RESIDENCELOCALITY,BUSINESSCATEGORY,BUSINESSMARGINGROSS,INCOMEEMPLOYMENT,STABILITYINBUSINESS,STABILITYCONFIRMED,STABILTIYCONFIRMEDTHRU,ISFAMILYINVOLVED,OFFICETYPE,MONTHLYTURNOVER,STOCKVALUEINHAND,BUSINESSMARGINNET,NOOFEMPLOYEES,NAMEBOARDSEEN,OFFICELOCALITY,ISRESIDENCECOMEOFFICE,ENDUSEOFLOAN,ENDUSEOFASSET,ASSETLOCATION,NEIGHBOURREF,POLITICALLINK,PROFESSIONTYPE,CURRENTBUSINESSSTABILITY,APPLICANTDESIGNATION,ASSETREGMONTH,ASSETREGYEAR,LANDOWNERSHIP,IRRIGATIONSOURCE,CROPSCULTIVATED,DISTFROMSCELOCATION,DISTFROMDEALERLOCATION,IMGCONFIRM,TOTALEXPENSEPERMONTH,NETINCOMEPERMONTH,FOIR
34,Bad,PROF326,SALEM ,HYUNDAI I10 SPORTZ 1.2 PETROL 2010,500000,234250,8948,36,Y,APPLICANT,O,25,20,3,PR006,0,35000,8,Y,5,N,O,0,0,0,0,N,1,Y,APPLICANT,1,SALEM,POSITIVE,N,SEP,5,OWNER,,0,,,,0,0,Y,11000,24000,37
35,Bad,PROF204,DELHI,MARUTI SUZUKI SWIFT VDI DIESEL 2015,300000,250000,9237,36,Y,MOTHER,O,25,25,3,PR002,0,12000,1,N,,N,R,0,0,0,0,Y,2,N,SELF,1,,POSITIVE,N,SAL,1,ONLY RESI PD DONE,,0,,,,0,0,Y,0,12000,77
36,Good,PROF211,LUDHIANA,TATA INDIGO ECS VX DIESEL 2012,300000,210000,7759,36,Y,HUSBAND ,O,20,12,3,PR006,0,50000,20,N,,N,O,0,0,0,0,N,1,N,FUNDS TO BE USED BY HUSBAND FOR PERSONAL USE ,1,LUDHIANA,POSITIVE,N,SEP,12,HOUSE WIFE,,0,,,,0,0,Y,0,50000,16
37,Good,PROF256,ORISSA,TATA INDIGO ECS LX DIESEL 2012,600000,234250,8655,36,Y,SELF,O,25,25,3,PR005,0,45000,25,N,5,N,O,0,0,0,3,Y,1,N,APPLICANT,1,GOPALPUR,POSITIVE,N,SEP,25,PROPREITOR,,0,,,,0,0,Y,0,45000,19
38,Bad,PROF235,INDORE ,MAHINDRA XUV500 W8 DIESEL 2014,1280000,1008499,24000,60,Y,SELF,O,40,25,3,PR005,25,80000,30,Y,5,N,O,5000000,1000000,20,8,Y,2,N,BUSINESS EXPOANSION,1,INDORE ,POSITIVE,N,SEP,30,PROPRIETOR,,0,,,,0,0,Y,20000,60000,40
39,Good,PROF229,HYDERABAD ,SKODA RAPID AMBITION 1.6 TDI MT DIESEL 2013,550000,500000,13246,60,Y,APPLICANT ,O,30,25,3,PR001,0,103921,13,Y,5,N,O,0,0,0,0,N,1,N,PERSONAL USE,1,,POSITIVE,N,SAL,13,PANCHAYATRAJ SECRETRY,,0,,,,0,0,Y,90000,13921,99
40,Good,PROF286,INDORE ,HYUNDAI EON ERA PLUS PETROL 2016,350000,304250,10142,48,Y,APPLICANT,O,20,20,3,PR001,0,25000,4,Y,5,N,O,0,0,0,0,Y,1,N,PERSONAL USE,1,INDORE,POSITIVE,N,SAL,4,SINGLE WINDOW OPERATOR,,0,,,,0,0,Y,2000,23000,44
41,Good,PROF025,LUCKNOW,TOYOTA INNOVA 2.5 G1 DIESEL 2010,600000,500000,12917,60,Y,APPLICANT,O,20,1,3,PR003,15,540000,12,Y,1,Y,O,1666667,5000000,10,10,Y,2,N,INVEST IN BUSINESS,1,LUCKNOW,POSITIVE,N,SEP,4,DIRECTOR,,0,,,,0,0,Y,200000,340000,4
42,Bad,PROF096,VISAKHAPATNAM,MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2012,500000,454250,12545,60,Y,SELF,O,30,12,3,PR003,0,70000,12,Y,1,Y,O,0,0,0,1,Y,1,N,SELF,1,VIZAG,POSITIVE,N,SEP,12,SELF ,,0,,,,0,0,Y,1000,69000,18
43,Good,PROF397,AURANGABAD,MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2012,400000,304250,11368,36,Y,APPLICANT SELF ,O,35,15,3,PR005,0,85000,10,Y,1,Y,O,0,0,0,4,Y,2,N,SALE / PURCHASE,1,JALNA,POSITIVE,N,SEP,10,PROPRIETOR ,,0,,,,0,0,N,35000,50000,23
44,Good,PROF109,ORISSA,MARUTI SUZUKI ALTO LXI PETROL 2015,300000,204250,5192,60,Y,APPLICANT ,R,72,2,3,PR005,20,50000,5,Y,5,N,R,200000,0,15,0,N,1,Y,GIVEN TO SALER,1,BHUBANESWAR ,POSITIVE,N,SEP,5,PROPREITOR ,,0,,,,0,0,Y,19500,30500,28
45,Bad,PROF376,KOLHAPUR,MARUTI SUZUKI ALTO K10 VXI PETROL 2012,270000,238850,6463,60,Y,SELF APPLICANT MET,R,5,2,3,PR001,0,60000,20,N,,N,R,0,0,0,0,N,2,N,RE FINANCE CASE VEHICLE USED FOR PERSONEL PURPOSE.,1,NIPPANI,POSITIVE,N,SAL,20,TEACHER,,,,,,,,Y,,,NA
46,Good,PROF209,COIMBATORE ,RENAULT DUSTER RXL DIESEL 110 DIESEL 2014,900000,704250,19450,60,Y,APPLICANT,R,16,16,3,PR002,0,75000,16,Y,5,N,O,0,0,0,800,Y,2,N,APPLICANT FAMILY,2,COIMBATORE,POSITIVE,N,SAL,16,ASST PROFESSOR MATH,,0,,,,0,0,Y,30000,45000,43
47,Good,PROF252,VIJAYAWADA,MARUTI SUZUKI ERTIGA VDI DIESEL 2012,550000,500000,15213,48,Y,APPLICANT,O,21,17,3,PR008,0,74000,20,Y,5,N,O,0,0,0,0,N,1,Y,FOR PURCHASE OF VEHICLE,1,VASTAVAL,POSITIVE,N,AGR,20,FARMER ,,0,,,,0,0,Y,25000,49000,31
48,Bad,PROF247,KARIMNAGAR,MARUTI SUZUKI SWIFT VDI DIESEL 2009,300000,254250,9711,36,Y,OWNER,O,35,35,3,PR006,0,63000,5,Y,5,N,O,0,0,0,1,N,1,Y,OWN,1,WARANGAL,POSITIVE,N,SEP,5,OWNER,,0,,,,0,0,Y,11000,52000,19
49,Good,PROF245,HYDERABAD ,MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2014,650000,550000,15813,48,Y,APPLICANT,O,25,20,3,PR005,0,80000,11,Y,5,Y,O,0,0,0,3,N,1,N,BUSINESS INVESTMENT PURPOSE,1,,POSITIVE,N,SEP,11,PROPREITOR,,0,,,,0,0,Y,25000,55000,29
50,Bad,PROF227,CHENNAI I,HYUNDAI I10 MAGNA PETROL 2008,280000,180000,14436,14,Y,HIRER,R,2,1,3,PR002,0,30400,5,Y,3,N,R,0,0,0,0,N,2,N,CAR PURCHASE,1,CHENNAI,POSITIVE,N,SAL,2,SR PROCESS ASSOCIATE,,0,,,,0,0,Y,13000,17400,83
51,Good,PROF109,TIRUNELVELI,TOYOTA INNOVA 2.5 G1 BS IV DIESEL 2010,1000000,708500,20665,48,Y,COAPPLICANT,O,25,25,3,PR005,45,500000,30,Y,5,N,O,10000000,1000000,35,0,N,2,N,APPLICANT,1,MARTHANDAM,POSITIVE,N,SEP,30,PROPIRATOR,,0,,,,0,0,Y,0,500000,4
52,Good,PROF250,NAGPUR,AUDI A4 2.0 TDI MULTITRONIC DIESEL 2012,2049000,1008500,30558,48,Y,APPLICANT,O,26,26,3,PR006,20,75000,3,Y,4,Y,O,500000,0,15,10,Y,2,N,APPLICANT,1,NAGPUR,POSITIVE,N,SEP,3,CARE TAKER,,,,,,,,Y,,,NA
53,Good,PROF355,COIMBATORE ,MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2011,550000,450000,14063,48,Y,PROPERTIOR,O,30,30,3,PR005,50,85000,4,Y,5,N,R,0,0,50,0,Y,2,N,APPLICANT,1,ERODE,POSITIVE,N,SEP,4.5,PROPERTIOR,,0,,,,0,0,Y,0,85000,17
54,Bad,PROF204,PUNE,HONDA CITY 1.5 V MT PETROL 2009,522000,304250,9128,48,Y,SELF ,R,5,0.6,3,PR003,0,500000,0.8,Y,1,N,L,0,0,0,0,Y,2,N,FOR PURCHASED USED CAR ,1,PUNE,POSITIVE,N,SEP,0.8,DIRECTOR,,0,,,,0,0,Y,,,NA
55,Good,PROF096,VIJAYAWADA,HYUNDAI VERNA VGT CRDI SX DIESEL 2010,410000,364250,10928,48,Y,APPLICANT,R,20,20,3,PR005,0,100000,15,Y,5,N,R,0,0,0,0,N,1,Y,OWN PURPUS,1,NELLORE,POSITIVE,N,SEP,15,APPLICANT,,0,,,,0,0,Y,35000,65000,17
56,Bad,PROF382,HUBLI,CHEVROLET SPARK LT 1.0 PETROL 2012,300000,234250,7223,48,Y,APPLICANT,O,15,10,3,PR005,0,105000,13,N,5,N,O,100000,0,0,3,Y,1,N,APPLICANT,4,BIJAPUR,POSITIVE,N,SEP,13,OWNER,,0,,,,0,0,Y,15000,90000,8
57,Bad,CP_004,GWALIOR ,MAHINDRA BOLERO PLUS AC DIESEL 2013,527000,354250,9999,60,Y,SELF,O,30,30,3,PR005,0,10000,10,Y,5,N,O,40000,0,0,2,Y,2,N,PURCHACE OLD VEHICLE,1,RAHATGARH,POSITIVE,N,SEP,10,PROPRITOR,,0,,,,0,0,Y,1000,9000,111
58,Good,PROF261,ORISSA,MAHINDRA XUV 500 W6 2012,1650000,658500,33063,24,Y,SELF,O,40,40,3,PR005,10,90000,15,N,1,N,O,100000,800000,7,5,Y,2,N,APPLICANT,1,,POSITIVE,N,SEP,15,PROPRETIOR,,0,,,,0,0,Y,10000,80000,41
59,Bad,PROF322,MADURAI,TOYOTA INNOVA 2.5 VX 8 STR BS III DIESEL 2010,1500000,700000,19332,60,Y,APPLICANT ,O,10,5,3,PR005,0,50000,4,Y,5,N,O,0,0,0,21,Y,1,N,OWN USE,1,,POSITIVE,N,SEP,4,PROPRIETOR ,,0,,,,0,0,Y,0,50000,39
60,Bad,PROF375,CHENNAI I,SKODA RAPID 1.6 TDI MT AMBITION PLUS DIESEL 2013,1000000,630000,17047,60,Y,BORROWER ,O,20,20,3,PR005,0,100000,4,Y,5,Y,O,0,0,0,4,Y,2,N,APPLICANT,1,CHENNAI,POSITIVE,N,SEP,4,PROPRIETOR,,0,,,,0,0,Y,,,NA
61,Good,PROF211,RAJKOT,MAHINDRA XUV500 W8 DIESEL 2012,1000000,554250,19898,36,Y,SELF,O,35,35,3,PR005,0,80000,20,Y,5,N,O,0,0,0,2,N,1,Y,PERSONAL,1,SONGADH,POSITIVE,N,SEP,8,PROPREITOR,,0,,,,0,0,Y,,,NA
62,Bad,PROF257,MYSORE,MARUTI SUZUKI ERTIGA VDI DIESEL 2012,590000,494250,13386,60,Y,SELF,O,26,26,3,PR006,0,350000,5,N,,N,R,0,0,0,10,Y,2,N,PURCHASE OF VEHICLE,1,KUNDAPURA,POSITIVE,N,SEP,5,SELF,,0,,,,0,0,Y,200000,150000,9
63,Good,PROF046,HUBLI,MAHINDRA BOLERO LX DIESEL 2009,350000,304250,11621,36,Y,APPLICANT,O,5,10,3,PR005,0,40000,6,N,6,N,O,400000,0,0,30,Y,1,Y,APPLICANT FOR PERSONAL USAGE,1,DHARWAD,POSITIVE,N,SEP,7,LABOUR CONTRACTOR,,0,,,,0,0,Y,10000,30000,39
64,Good,PROF245,VIJAYAWADA,HONDA BRIO S MT PETROL 2012,350000,300000,11284,36,Y,APPLICANT,O,25,25,3,PR005,0,380000,20,Y,1,N,R,0,0,0,8,Y,2,N,FOR PURCHASE OF VEHICLE,1,KRISHNA LANKA,POSITIVE,N,SEP,10,PROPRIETOR,,0,,,,0,0,Y,207690,172310,39
65,Bad,PROF150,TRICHY ,FORD FIGO 1.4 TITANIUM (D) 2012,300000,204250,7700,36,Y,APPLICANT ,O,59,2,3,PR005,30,53000,2,Y,5,N,O,75000,1000,20,1,N,1,Y,FAMILY USE ,1,PUDUKKOTTAI,POSITIVE,N,SEP,2,SURVEYOR,,0,,,,0,0,Y,14508,38492,42
66,Bad,PROF367,AHMEDABAD,BMW 5 SERIES 520D LUXURY LINE DIESEL 2014,4400000,3500000,81439,60,Y,SELF,R,8,1,3,PR005,0,500000,3,Y,5,N,R,500000,0,0,3,Y,2,N,PERSONAL,1,GANDHINAGAR,POSITIVE,N,SEP,4,PROPRIETOR,,0,,,,0,0,Y,200000,300000,27
67,Bad,PROF349,MYSORE,MAHINDRA BOLERO ZLX DIESEL 2012,566000,354250,13250,36,Y,APPLICANT,O,30,30,3,PR007,0,35000,25,N,,N,O,0,0,0,2,Y,1,N,PERSONAL,1,HASSAN,POSITIVE,N,AGR,25,AGRICULTURIST,,0,,,,0,0,Y,12000,23000,58
68,Bad,PROF273,NAGPUR,HYUNDAI SANTRO XL 2007,220000,154250,5812,36,Y,SELF,O,10,10,3,PR002,0,40000,11,Y,4,N,R,0,0,0,60,Y,2,N,FOR PERSONAL USE,1,,POSITIVE,N,SAL,11,TECHNICIAN ,,0,,,,0,0,Y,0,40000,15
69,Good,PROF313,CHENNAI I,TATA INDIGO ECS LS TDI DIESEL 2015,500000,325000,9720,48,Y,BROTHER,O,15,10,3,PR005,0,40000,7,Y,1,N,O,0,0,0,5,N,1,Y,APPLICANT,1,,POSITIVE,N,SEP,5,PROP,,0,,,,0,0,Y,0,40000,24
70,Good,PROF227,MYSORE,MARUTI SUZUKI RITZ VDI BS IV DIESEL 2011,385000,204250,6100,48,Y,APPLICANT,R,12,12,3,PR002,50,25000,12,Y,1,N,R,25000,0,40,0,Y,2,N,PERSONAL,1,HASSAN,POSITIVE,N,SAL,12,WARDEN,,0,,,,0,0,Y,3000,22000,28
71,Good,PROF235,RAIPUR ,TOYOTA INNOVA 2.5 G 8 STR BS III DIESEL 2013,1100000,908500,24984,60,Y,SELF,O,15,12,3,PR005,0,600000,7,Y,5,N,R,0,0,0,10,Y,2,N,VEHICLE PURCHESE,1,RAIPUR,POSITIVE,N,SEP,7,PROPREITOR,,0,,,,0,0,Y,,,NA
72,Bad,PROF252,AMRITSAR,MARUTI SUZUKI SWIFT VDI DIESEL 2010,345000,104250,9644,12,Y,SELF,O,30,30,3,PR007,0,35000,15,Y,6,N,O,0,0,0,0,N,1,N,FOR CAR LOAN,1,LOCAL,POSITIVE,N,AGR,15,PROPRIETOR ,,0,,,,0,0,Y,10000,25000,39
